v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,1.1,0.0,0.0,4.789391e-11,-1.38994e-10,4.789391e-11,4.320597e-11
0.01,0.01,1.1,0.0,0.0,-2.98207e-06,-1.39378e-10,2.982167e-06,4.423608e-11
0.02,0.02,1.1,0.0,0.0,-5.91828e-06,-1.39618e-10,5.918377e-06,4.528871e-11
0.03,0.03,1.1,0.0,0.0,-8.80868e-06,-1.3987e-10,8.808772e-06,4.636429e-11
0.04,0.04,1.1,0.0,0.0,-1.16534e-05,-1.40178e-10,1.165347e-05,4.746326e-11
0.05,0.05,1.1,0.0,0.0,-1.44525e-05,-1.40542e-10,1.445259e-05,4.858609e-11
0.06,0.06,1.1,0.0,0.0,-1.72062e-05,-1.40965e-10,1.720628e-05,4.973324e-11
0.07,0.07,1.1,0.0,0.0,-1.99146e-05,-1.41439e-10,1.991467e-05,5.090516e-11
0.08,0.08,1.1,0.0,0.0,-2.25778e-05,-1.41966e-10,2.25779e-05,5.210234e-11
0.09,0.09,1.1,0.0,0.0,-2.5196e-05,-1.42542e-10,2.519609e-05,5.332525e-11
0.1,0.1,1.1,0.0,0.0,-2.77693e-05,-1.4317e-10,2.776939e-05,5.457438e-11
0.11,0.11,1.1,0.0,0.0,-3.02978e-05,-1.43847e-10,3.029789e-05,5.585024e-11
0.12,0.12,1.1,0.0,0.0,-3.27816e-05,-1.44572e-10,3.278171e-05,5.715331e-11
0.13,0.13,1.1,0.0,0.0,-3.52208e-05,-1.45347e-10,3.522093e-05,5.84841e-11
0.14,0.14,1.1,0.0,0.0,-3.76155e-05,-1.4617e-10,3.761563e-05,5.984314e-11
0.15,0.15,1.1,0.0,0.0,-3.99658e-05,-1.47041e-10,3.996585e-05,6.123094e-11
0.16,0.16,1.1,0.0,0.0,-4.22715e-05,-1.47959e-10,4.227163e-05,6.264804e-11
0.17,0.17,1.1,0.0,0.0,-4.45329e-05,-1.48927e-10,4.453297e-05,6.409498e-11
0.18,0.18,1.1,0.0,0.0,-4.67498e-05,-1.49942e-10,4.674985e-05,6.557229e-11
0.19,0.19,1.1,0.0,0.0,-4.89221e-05,-1.51005e-10,4.892221e-05,6.708052e-11
0.2,0.2,1.1,0.0,0.0,-5.10499e-05,-1.52116e-10,5.104995e-05,6.862025e-11
0.21,0.21,1.1,0.0,0.0,-5.31329e-05,-1.53275e-10,5.313296e-05,7.019203e-11
0.22,0.22,1.1,0.0,0.0,-5.5171e-05,-1.54484e-10,5.517104e-05,7.179644e-11
0.23,0.23,1.1,0.0,0.0,-5.71639e-05,-1.55739e-10,5.716398e-05,7.343406e-11
0.24,0.24,1.1,0.0,0.0,-5.91114e-05,-1.57045e-10,5.911149e-05,7.510548e-11
0.25,0.25,1.1,0.0,0.0,-6.10131e-05,-1.58399e-10,6.101323e-05,7.68113e-11
0.26,0.26,1.1,0.0,0.0,-6.28687e-05,-1.59802e-10,6.286879e-05,7.855212e-11
0.27,0.27,1.1,0.0,0.0,-6.46776e-05,-1.61257e-10,6.467769e-05,8.032855e-11
