v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,1.1,1.100012e-12,6.413046e-15,1.100012e-12,-2.20651e-12
0.01,0.01,0.0,0.0,1.1,1.086443e-12,6.413199e-15,1.10358e-12,-2.19655e-12
0.02,0.02,0.0,0.0,1.1,1.066912e-12,6.41341e-15,1.113111e-12,-2.18656e-12
0.03,0.03,0.0,0.0,1.1,1.043665e-12,6.413554e-15,1.126358e-12,-2.17651e-12
0.04,0.04,0.0,0.0,1.1,1.013066e-12,6.413675e-15,1.146957e-12,-2.16654e-12
0.05,0.05,0.0,0.0,1.1,9.715074e-13,6.413776e-15,1.178515e-12,-2.15655e-12
0.06,0.06,0.0,0.0,1.1,9.13335e-13,6.413859e-15,1.226688e-12,-2.14662e-12
0.07,0.07,0.0,0.0,1.1,8.297201e-13,6.413926e-15,1.300303e-12,-2.13657e-12
0.08,0.08,0.0,0.0,1.1,7.070445e-13,6.413978e-15,1.412978e-12,-2.12647e-12
0.09,0.09,0.0,0.0,1.1,5.244476e-13,6.414019e-15,1.585575e-12,-2.11647e-12
0.1,0.1,0.0,0.0,1.1,2.500606e-13,6.414048e-15,1.849962e-12,-2.10648e-12
0.11,0.11,0.0,0.0,1.1,-1.64752e-13,6.414069e-15,2.254775e-12,-2.09649e-12
0.12,0.12,0.0,0.0,1.1,-7.94165e-13,6.414082e-15,2.874188e-12,-2.08647e-12
0.13,0.13,0.0,0.0,1.1,-1.75122e-12,6.414091e-15,3.821241e-12,-2.07648e-12
0.14,0.14,0.0,0.0,1.1,-3.20805e-12,6.414097e-15,5.268077e-12,-2.06651e-12
0.15,0.15,0.0,0.0,1.1,-5.42658e-12,6.41411e-15,7.476602e-12,-2.05652e-12
0.16,0.16,0.0,0.0,1.1,-8.8049e-12,6.414156e-15,1.084492e-11,-2.04647e-12
0.17,0.17,0.0,0.0,1.1,-1.39475e-11,6.414283e-15,1.59775e-11,-2.03654e-12
0.18,0.18,0.0,0.0,1.1,-2.1771e-11,6.414474e-15,2.379106e-11,-2.02646e-12
0.19,0.19,0.0,0.0,1.1,-3.36639e-11,6.41471e-15,3.567397e-11,-2.01647e-12
0.2,0.2,0.0,0.0,1.1,-5.17257e-11,6.414996e-15,5.372572e-11,-2.00653e-12
0.21,0.21,0.0,0.0,1.1,-7.91255e-11,6.415343e-15,8.111556e-11,-1.99649e-12
0.22,0.22,0.0,0.0,1.1,-1.20638e-10,6.415769e-15,1.226179e-10,-1.98652e-12
0.23,0.23,0.0,0.0,1.1,-1.83439e-10,6.416304e-15,1.854086e-10,-1.97656e-12
0.24,0.24,0.0,0.0,1.1,-2.78283e-10,6.41699e-15,2.802434e-10,-1.96648e-12
0.25,0.25,0.0,0.0,1.1,-4.21243e-10,6.417885e-15,4.231934e-10,-1.95655e-12
0.26,0.26,0.0,0.0,1.1,-6.36244e-10,6.41908e-15,6.38184e-10,-1.94655e-12
0.27,0.27,0.0,0.0,1.1,-9.58753e-10,6.420703e-15,9.606829e-10,-1.93651e-12
0.28,0.28,0.0,0.0,1.1,-1.44109e-09,6.42294e-15,1.443012e-09,-1.92654e-12
0.29,0.29,0.0,0.0,1.1,-2.16002e-09,6.426063e-15,2.161928e-09,-1.91655e-12
0.3,0.3,0.0,0.0,1.1,-3.22741e-09,6.43046e-15,3.229313e-09,-1.90656e-12
0.31,0.31,0.0,0.0,1.1,-4.8052e-09,6.436683e-15,4.807093e-09,-1.89654e-12
0.32,0.32,0.0,0.0,1.1,-7.1259e-09,6.445516e-15,7.127775e-09,-1.8866e-12
0.33,0.33,0.0,0.0,1.1,-1.05205e-08,6.458049e-15,1.052235e-08,-1.87664e-12
0.34,0.34,0.0,0.0,1.1,-1.54559e-08,6.475788e-15,1.545776e-08,-1.86667e-12
0.35,0.35,0.0,0.0,1.1,-2.25847e-08,6.500781e-15,2.258654e-08,-1.85665e-12
0.36,0.36,0.0,0.0,1.1,-3.28103e-08,6.535776e-15,3.281215e-08,-1.84683e-12
0.37,0.37,0.0,0.0,1.1,-4.73724e-08,6.584393e-15,4.73742e-08,-1.83681e-12
0.38,0.38,0.0,0.0,1.1,-6.79573e-08,6.651337e-15,6.795916e-08,-1.82701e-12
0.39,0.39,0.0,0.0,1.1,-9.68414e-08,6.742616e-15,9.684324e-08,-1.81721e-12
0.4,0.4,0.0,0.0,1.1,-1.37073e-07,6.865794e-15,1.370743e-07,-1.80739e-12
0.41,0.41,0.0,0.0,1.1,-1.92696e-07,7.030275e-15,1.926976e-07,-1.79787e-12
0.42,0.42,0.0,0.0,1.1,-2.6902e-07,7.247633e-15,2.690221e-07,-1.78835e-12
0.43,0.43,0.0,0.0,1.1,-3.72909e-07,7.532022e-15,3.729108e-07,-1.77905e-12
0.44,0.44,0.0,0.0,1.1,-5.13054e-07,7.900695e-15,5.130556e-07,-1.76997e-12
0.45,0.45,0.0,0.0,1.1,-7.00169e-07,8.374683e-15,7.001704e-07,-1.76115e-12
0.46,0.46,0.0,0.0,1.1,-9.47017e-07,8.97966e-15,9.470188e-07,-1.75293e-12
0.47,0.47,0.0,0.0,1.1,-1.26819e-06,9.747065e-15,1.268188e-06,-1.74494e-12
0.48,0.48,0.0,0.0,1.1,-1.67955e-06,1.071549e-14,1.679555e-06,-1.73769e-12
0.49,0.49,0.0,0.0,1.1,-2.19745e-06,1.193242e-14,2.197448e-06,-1.73109e-12
0.5,0.5,0.0,0.0,1.1,-2.8376e-06,1.345635e-14,2.837597e-06,-1.72529e-12
0.51,0.51,0.0,0.0,1.1,-3.61401e-06,1.535935e-14,3.614015e-06,-1.72046e-12
0.52,0.52,0.0,0.0,1.1,-4.53802e-06,1.773024e-14,4.538017e-06,-1.71688e-12
0.53,0.53,0.0,0.0,1.1,-5.61751e-06,2.067841e-14,5.617516e-06,-1.71449e-12
0.54,0.54,0.0,0.0,1.1,-6.8567e-06,2.433847e-14,6.856706e-06,-1.71338e-12
0.55,0.55,0.0,0.0,1.1,-8.25613e-06,2.887588e-14,8.256134e-06,-1.71396e-12
0.56,0.56,0.0,0.0,1.1,-9.81309e-06,3.449385e-14,9.813091e-06,-1.71632e-12
